Date,Open,High,Low,Close,Adj Close,Volume
2023-10-13,0.077200,0.077200,0.077200,0.077200,-52.236629,0
2023-10-16,0.072900,0.072900,0.072900,0.072900,-49.327072,0
2023-10-17,0.088700,0.088700,0.088700,0.088700,-60.017990,3000
2023-10-18,0.082800,0.082800,0.082800,0.082800,-56.025814,0
2023-10-19,0.080200,0.080200,0.080200,0.080200,-54.266548,0
2023-10-20,0.078100,0.078100,0.078100,0.078100,-52.845608,0
2023-10-23,0.083000,0.083000,0.083000,0.083000,-56.161140,0
2023-10-24,0.075100,0.075100,0.075100,0.075100,-50.815681,0
2023-10-25,0.076100,0.076100,0.076100,0.076100,-51.492325,0
2023-10-26,0.074900,0.074900,0.074900,0.074900,-50.680355,0
2023-10-27,0.075600,0.075600,0.075600,0.075600,-51.154003,0
2023-10-30,0.080200,0.080200,0.080200,0.080200,-54.266548,0
2023-10-31,0.079400,0.079400,0.079400,0.079400,-53.725239,0
2023-11-01,0.079500,0.079500,0.079500,0.079500,-53.792900,0
2023-11-02,0.079700,0.079700,0.079700,0.079700,-53.928230,0
2023-11-03,0.079800,0.079800,0.079800,0.079800,-53.995895,0
2023-11-06,0.080000,0.080000,0.080000,0.080000,-54.131218,0
2023-11-07,0.077600,0.077600,0.077600,0.077600,-52.507286,0
2023-11-08,0.074500,0.074500,0.074500,0.074500,-50.409702,0
2023-11-09,0.071700,0.071700,0.071700,0.071700,-48.515106,0
2023-11-10,0.071200,0.071200,0.071200,0.071200,-48.176785,0
2023-11-13,0.070200,0.070200,0.070200,0.070200,-47.500149,0
2023-11-14,0.071300,0.071300,0.071300,0.071300,-48.244450,0
2023-11-15,0.070300,0.070300,0.070300,0.070300,-47.567810,0
2023-11-16,0.070200,0.070200,0.070200,0.070200,-47.500149,0
2023-11-17,0.069600,0.069600,0.069600,0.069600,-47.094162,0
2023-11-20,0.070400,0.070400,0.070400,0.070400,-47.635475,0
2023-11-21,0.069600,0.069600,0.069600,0.069600,-47.094162,0
2023-11-22,0.062300,0.062300,0.062300,0.062300,-42.154690,0
2023-11-23,0.061000,0.061000,0.061000,0.061000,-41.275055,0
2023-11-24,0.058500,0.058500,0.058500,0.058500,-39.583454,0
2023-11-27,0.056500,0.056500,0.056500,0.056500,-38.230175,0
2023-11-28,0.057400,0.057400,0.057400,0.057400,-38.839149,0
2023-11-29,0.056700,0.056700,0.056700,0.056700,-38.365501,0
2023-11-30,0.059300,0.059300,0.059300,0.059300,-40.124767,0
2023-12-01,0.059400,0.059400,0.059400,0.059400,-40.192432,0
2023-12-04,0.058000,0.058000,0.058000,0.058000,-39.245132,0
2023-12-05,0.057500,0.057500,0.057500,0.057500,-38.906815,0
2023-12-06,0.062300,0.062300,0.062300,0.062300,-42.154690,0
2023-12-07,0.061700,0.061700,0.061700,0.061700,-41.748703,0
2023-12-08,0.067300,0.067300,0.067300,0.067300,-45.537888,0
2023-12-11,0.065000,0.065000,0.065000,0.065000,-43.981617,0
2023-12-12,0.060900,0.060900,0.060900,0.060900,-41.207390,0
2023-12-13,0.067200,0.067200,0.067200,0.067200,-45.470222,0
